index,Country,Subject,Gender,Year,Value
0,AUS,MATH,BOY,2003,527.0
1,AUS,MATH,BOY,2006,527.0
2,AUS,MATH,BOY,2009,519.0
3,AUS,MATH,BOY,2012,510.115
4,AUS,MATH,BOY,2015,497.0
5,AUS,MATH,BOY,2018,494.0
6,AUS,MATH,GIRL,2003,522.0
7,AUS,MATH,GIRL,2006,513.0
8,AUS,MATH,GIRL,2009,509.0
9,AUS,MATH,GIRL,2012,497.821
10,AUS,MATH,GIRL,2015,491.0
11,AUS,MATH,GIRL,2018,488.0
12,AUT,MATH,BOY,2003,509.0
13,AUT,MATH,BOY,2006,517.0
14,AUT,MATH,BOY,2012,516.682
15,AUT,MATH,BOY,2015,510.0
16,AUT,MATH,BOY,2018,505.0
17,AUT,MATH,GIRL,2003,502.0
18,AUT,MATH,GIRL,2006,494.0
19,AUT,MATH,GIRL,2012,494.462
20,AUT,MATH,GIRL,2015,483.0
21,AUT,MATH,GIRL,2018,492.0
22,BEL,MATH,BOY,2003,533.0
23,BEL,MATH,BOY,2006,524.0
24,BEL,MATH,BOY,2009,526.0
25,BEL,MATH,BOY,2012,520.081
26,BEL,MATH,BOY,2015,514.0
27,BEL,MATH,BOY,2018,514.0
28,BEL,MATH,GIRL,2003,525.0
29,BEL,MATH,GIRL,2006,517.0
30,BEL,MATH,GIRL,2009,504.0
31,BEL,MATH,GIRL,2012,508.935
32,BEL,MATH,GIRL,2015,500.0
33,BEL,MATH,GIRL,2018,502.0
34,CAN,MATH,BOY,2003,541.0
35,CAN,MATH,BOY,2006,534.0
36,CAN,MATH,BOY,2009,533.0
37,CAN,MATH,BOY,2012,523.154
38,CAN,MATH,BOY,2015,520.0
39,CAN,MATH,BOY,2018,514.0
40,CAN,MATH,GIRL,2003,530.0
41,CAN,MATH,GIRL,2006,520.0
42,CAN,MATH,GIRL,2009,521.0
43,CAN,MATH,GIRL,2012,513.022
44,CAN,MATH,GIRL,2015,511.0
45,CAN,MATH,GIRL,2018,510.0
46,CZE,MATH,BOY,2003,524.0
47,CZE,MATH,BOY,2006,514.0
48,CZE,MATH,BOY,2009,495.0
49,CZE,MATH,BOY,2012,504.71
50,CZE,MATH,BOY,2015,496.0
51,CZE,MATH,BOY,2018,501.0
52,CZE,MATH,GIRL,2003,509.0
53,CZE,MATH,GIRL,2006,504.0
54,CZE,MATH,GIRL,2009,490.0
55,CZE,MATH,GIRL,2012,492.903
56,CZE,MATH,GIRL,2015,489.0
57,CZE,MATH,GIRL,2018,498.0
58,DNK,MATH,BOY,2003,523.0
59,DNK,MATH,BOY,2006,518.0
60,DNK,MATH,BOY,2009,511.0
61,DNK,MATH,BOY,2012,506.953
62,DNK,MATH,BOY,2015,516.0
63,DNK,MATH,BOY,2018,511.0
64,DNK,MATH,GIRL,2003,506.0
65,DNK,MATH,GIRL,2006,508.0
66,DNK,MATH,GIRL,2009,495.0
67,DNK,MATH,GIRL,2012,493.029
68,DNK,MATH,GIRL,2015,506.0
69,DNK,MATH,GIRL,2018,507.0
70,FIN,MATH,BOY,2003,548.0
71,FIN,MATH,BOY,2006,554.0
72,FIN,MATH,BOY,2009,542.0
73,FIN,MATH,BOY,2012,517.391
74,FIN,MATH,BOY,2015,507.0
75,FIN,MATH,BOY,2018,504.0
76,FIN,MATH,GIRL,2003,541.0
77,FIN,MATH,GIRL,2006,543.0
78,FIN,MATH,GIRL,2009,539.0
79,FIN,MATH,GIRL,2012,520.185
80,FIN,MATH,GIRL,2015,515.0
81,FIN,MATH,GIRL,2018,510.0
82,FRA,MATH,BOY,2003,515.0
83,FRA,MATH,BOY,2006,499.0
84,FRA,MATH,BOY,2009,505.0
85,FRA,MATH,BOY,2012,499.355
86,FRA,MATH,BOY,2015,496.0
87,FRA,MATH,BOY,2018,499.0
88,FRA,MATH,GIRL,2003,507.0
89,FRA,MATH,GIRL,2006,492.0
90,FRA,MATH,GIRL,2009,489.0
91,FRA,MATH,GIRL,2012,490.853
92,FRA,MATH,GIRL,2015,490.0
93,FRA,MATH,GIRL,2018,492.0
94,DEU,MATH,BOY,2003,508.0
95,DEU,MATH,BOY,2006,513.0
96,DEU,MATH,BOY,2009,520.0
97,DEU,MATH,BOY,2012,520.19
98,DEU,MATH,BOY,2015,514.0
99,DEU,MATH,BOY,2018,503.0
100,DEU,MATH,GIRL,2003,499.0
101,DEU,MATH,GIRL,2006,494.0
102,DEU,MATH,GIRL,2009,505.0
103,DEU,MATH,GIRL,2012,506.625
104,DEU,MATH,GIRL,2015,498.0
105,DEU,MATH,GIRL,2018,496.0
106,GRC,MATH,BOY,2003,455.0
107,GRC,MATH,BOY,2006,462.0
108,GRC,MATH,BOY,2009,473.0
109,GRC,MATH,BOY,2012,457.039
110,GRC,MATH,BOY,2015,454.0
111,GRC,MATH,BOY,2018,452.0
